enrollment_id,student_id,course_id,term_code,grade,grade_points,pass_flag
9001,1001,301,SPRING2026,A,4.0,Y
9002,1001,302,SPRING2026,A-,3.7,Y
9003,1001,303,SPRING2026,B+,3.3,Y
9004,1001,304,SPRING2026,A,4.0,Y
9005,1002,302,SPRING2026,B+,3.3,Y
9006,1002,303,SPRING2026,B,3.0,Y
9007,1002,304,SPRING2026,A-,3.7,Y
9008,1002,305,SPRING2026,B+,3.3,Y
9009,1003,303,SPRING2026,A,4.0,Y
9010,1003,304,SPRING2026,B+,3.3,Y
9011,1003,305,SPRING2026,A-,3.7,Y
9012,1003,306,SPRING2026,B,3.0,Y
9013,1004,304,SPRING2026,B,3.0,Y
9014,1004,305,SPRING2026,B+,3.3,Y
9015,1004,306,SPRING2026,B,3.0,Y
9016,1004,307,SPRING2026,A-,3.7,Y
9017,1005,305,SPRING2026,A-,3.7,Y
9018,1005,306,SPRING2026,B+,3.3,Y
9019,1005,307,SPRING2026,B+,3.3,Y
9020,1005,308,SPRING2026,A,4.0,Y
9021,1006,306,SPRING2026,B,3.0,Y
9022,1006,307,SPRING2026,B-,2.7,Y
9023,1006,308,SPRING2026,B+,3.3,Y
9024,1006,309,SPRING2026,B,3.0,Y
9025,1007,307,SPRING2026,A,4.0,Y
9026,1007,308,SPRING2026,A,4.0,Y
9027,1007,309,SPRING2026,A-,3.7,Y
9028,1007,310,SPRING2026,B+,3.3,Y
9029,1008,308,SPRING2026,B+,3.3,Y
9030,1008,309,SPRING2026,B+,3.3,Y
9031,1008,310,SPRING2026,B,3.0,Y
9032,1008,301,SPRING2026,B-,2.7,Y
9033,1009,309,SPRING2026,A-,3.7,Y
9034,1009,310,SPRING2026,B+,3.3,Y
9035,1009,301,SPRING2026,A,4.0,Y
9036,1009,302,SPRING2026,A-,3.7,Y
9037,1010,310,SPRING2026,B,3.0,Y
9038,1010,301,SPRING2026,B+,3.3,Y
9039,1010,302,SPRING2026,A-,3.7,Y
9040,1010,303,SPRING2026,B+,3.3,Y
9041,1011,301,SPRING2026,A,4.0,Y
9042,1011,302,SPRING2026,B+,3.3,Y
9043,1011,303,SPRING2026,B+,3.3,Y
9044,1011,304,SPRING2026,A-,3.7,Y
9045,1012,302,SPRING2026,C+,2.3,Y
9046,1012,303,SPRING2026,B,3.0,Y
9047,1012,304,SPRING2026,B-,2.7,Y
9048,1012,305,SPRING2026,B,3.0,Y
9049,1013,303,SPRING2026,B+,3.3,Y
9050,1013,304,SPRING2026,A-,3.7,Y
9051,1013,305,SPRING2026,B+,3.3,Y
9052,1013,306,SPRING2026,B+,3.3,Y
9053,1014,304,SPRING2026,B,3.0,Y
9054,1014,305,SPRING2026,C+,2.3,Y
9055,1014,306,SPRING2026,B,3.0,Y
9056,1014,307,SPRING2026,B+,3.3,Y
9057,1015,305,SPRING2026,A-,3.7,Y
9058,1015,306,SPRING2026,A,4.0,Y
9059,1015,307,SPRING2026,B+,3.3,Y
9060,1015,308,SPRING2026,A,4.0,Y
9061,1016,306,SPRING2026,B-,2.7,Y
9062,1016,307,SPRING2026,B,3.0,Y
9063,1016,308,SPRING2026,C+,2.3,Y
9064,1016,309,SPRING2026,B,3.0,Y
9065,1017,307,SPRING2026,A,4.0,Y
9066,1017,308,SPRING2026,A-,3.7,Y
9067,1017,309,SPRING2026,A,4.0,Y
9068,1017,310,SPRING2026,A,4.0,Y
9069,1018,308,SPRING2026,B+,3.3,Y
9070,1018,309,SPRING2026,B,3.0,Y
9071,1018,310,SPRING2026,B-,2.7,Y
9072,1018,301,SPRING2026,C+,2.3,Y
9073,1019,309,SPRING2026,A-,3.7,Y
9074,1019,310,SPRING2026,A-,3.7,Y
9075,1019,301,SPRING2026,B+,3.3,Y
9076,1019,302,SPRING2026,A,4.0,Y
9077,1020,310,SPRING2026,B,3.0,Y
9078,1020,301,SPRING2026,B,3.0,Y
9079,1020,302,SPRING2026,B+,3.3,Y
9080,1020,303,SPRING2026,B,3.0,Y
9081,1021,301,SPRING2026,A-,3.7,Y
9082,1021,302,SPRING2026,B+,3.3,Y
9083,1021,303,SPRING2026,A-,3.7,Y
9084,1021,304,SPRING2026,B+,3.3,Y
9085,1022,302,SPRING2026,B+,3.3,Y
9086,1022,303,SPRING2026,B,3.0,Y
9087,1022,304,SPRING2026,C+,2.3,Y
9088,1022,305,SPRING2026,B-,2.7,Y
9089,1023,303,SPRING2026,A,4.0,Y
9090,1023,304,SPRING2026,A-,3.7,Y
9091,1023,305,SPRING2026,A-,3.7,Y
9092,1023,306,SPRING2026,B+,3.3,Y
9093,1024,304,SPRING2026,B,3.0,Y
9094,1024,305,SPRING2026,B+,3.3,Y
9095,1024,306,SPRING2026,B+,3.3,Y
9096,1024,307,SPRING2026,B,3.0,Y
9097,1025,305,SPRING2026,A,4.0,Y
